id,weight,length,width,height,distance,price,size,client_id,from_addr,to_addr,number,name,surname,patronymic,status,organization_id,created_at,updated_at,org_code,operator,email
1,12,20,30,40,265.0,657.0,79.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
2,12,20,30,40,499.0,147.0,5.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
3,12,20,30,40,749.0,122.0,74.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
4,12,20,30,40,116.0,559.0,82.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
5,12,20,30,40,881.0,310.0,33.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
6,12,20,30,40,691.0,409.0,56.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
7,12,20,30,40,171.0,838.0,56.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
8,12,20,30,40,116.0,247.0,22.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
9,12,20,30,40,848.0,181.0,46.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
10,12,20,30,40,555.0,56.0,47.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
11,12,20,30,40,797.0,519.0,87.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
12,12,20,30,40,131.0,549.0,67.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
13,12,20,30,40,764.0,518.0,23.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
14,12,20,30,40,289.0,305.0,96.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
15,12,20,30,40,463.0,795.0,90.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
16,12,20,30,40,359.0,797.0,45.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
17,12,20,30,40,265.0,185.0,93.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
18,12,20,30,40,406.0,963.0,90.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
19,12,20,30,40,355.0,931.0,63.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
20,12,20,30,40,445.0,475.0,52.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
21,12,20,30,40,483.0,474.0,28.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
22,12,20,30,40,333.0,998.0,24.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
23,12,20,30,40,524.0,731.0,15.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
24,12,20,30,40,520.0,391.0,73.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
25,12,20,30,40,785.0,611.0,58.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
26,12,20,30,40,801.0,350.0,89.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
27,12,20,30,40,807.0,582.0,31.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
28,12,20,30,40,656.0,893.0,28.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
29,12,20,30,40,672.0,322.0,66.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
30,12,20,30,40,838.0,184.0,21.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:33:30 UTC,2021-07-06 08:33:30 UTC,111,operator@mail.ru,zzz@mail.ru
36,12,20,30,40,289.0,310.0,12.0,1,Moscow,Krasnodar,777777777,Artem,Ivanov,Ivanovich,,1,2021-07-06 08:35:34 UTC,2021-07-06 08:35:34 UTC,111,operator_sec@mail.ru,xxx@mail.ru
37,1,1,2,1,2883.9,2884.0,0.0,6,London,Moscow,213123123213,sad,asd,asdasdad,,1,2021-07-06 09:00:38 UTC,2021-07-06 09:00:38 UTC,111,asdasd@mail.ru,RRTRTRTTRT@mail.ru
38,7,10,2,3,307.6,308.0,0.0,6,Krasnodar,Sochi,213123123213,sdfsdfsdfsdf,asdasdasd,asdasdasd,,1,2021-07-06 09:02:05 UTC,2021-07-06 09:02:05 UTC,111,asdasd@mail.ru,adsasd@mail.ru
39,1000,10,20,10,458.6,459.0,0.002,6,London,Paris,123123213,вфывфывфы,фывфывфыв,фывфывфывв,,1,2021-07-06 09:07:27 UTC,2021-07-06 09:07:27 UTC,111,asdasd@mail.ru,asdasd@mail.ru
